timestamp, memory_used_mib, utilization_percent, power_w
2026/09/11 03:27:00.634, 0, 0, 53.11
2026/09/11 03:27:05.658, 9155, 97, 80.87
2026/09/11 03:27:10.682, 18343, 100, 76.38
2026/09/11 03:27:15.707, 20175, 100, 165.25
2026/09/11 03:27:20.735, 22687, 100, 160.76
2026/09/11 03:27:25.758, 22687, 100, 164.16
2026/09/11 03:27:30.783, 22735, 100, 164.71
2026/09/11 03:27:35.808, 22735, 100, 164.96
2026/09/11 03:27:40.836, 22743, 100, 161.80
2026/09/11 03:27:45.861, 22743, 100, 163.92
2026/09/11 03:27:50.886, 22743, 100, 169.99
2026/09/11 03:27:55.910, 22743, 100, 166.64
2026/09/11 03:28:00.935, 22743, 100, 167.13
2026/09/11 03:28:05.959, 22743, 100, 165.55
2026/09/11 03:28:10.983, 22747, 100, 167.92
2026/09/11 03:28:16.007, 22747, 100, 165.31
2026/09/11 03:28:21.028, 22747, 100, 167.13
2026/09/11 03:28:26.056, 22835, 100, 164.46
2026/09/11 03:28:31.080, 22835, 99, 162.40
2026/09/11 03:28:36.104, 22835, 77, 162.64
2026/09/11 03:28:41.128, 22835, 100, 165.85
2026/09/11 03:28:46.154, 22839, 100, 164.76
2026/09/11 03:28:51.178, 22855, 100, 164.27
2026/09/11 03:28:56.201, 22855, 100, 163.97
2026/09/11 03:29:01.225, 22855, 100, 160.28
2026/09/11 03:29:06.250, 22855, 100, 162.94
2026/09/11 03:29:11.280, 22855, 100, 165.06
2026/09/11 03:29:16.305, 22857, 100, 164.76
2026/09/11 03:29:21.331, 22857, 100, 164.76
2026/09/11 03:29:26.355, 22857, 100, 162.94
2026/09/11 03:29:31.378, 22859, 100, 160.28
2026/09/11 03:29:36.399, 22859, 100, 151.60
2026/09/11 03:29:41.422, 22859, 100, 162.40
2026/09/11 03:29:46.451, 22901, 97, 95.28
2026/09/11 03:29:51.474, 22925, 98, 94.74
2026/09/11 03:29:56.498, 22925, 46, 83.64
2026/09/11 03:30:01.522, 11471, 46, 84.72
2026/09/11 03:30:06.544, 17713, 47, 85.51
2026/09/11 03:30:11.568, 21519, 81, 100.57
2026/09/11 03:30:16.591, 21559, 99, 129.58
2026/09/11 03:30:21.614, 22815, 99, 131.45
2026/09/11 03:30:26.638, 22857, 98, 171.91
2026/09/11 03:30:31.662, 11373, 99, 172.16
2026/09/11 03:30:36.685, 11373, 95, 172.95
2026/09/11 03:30:41.710, 11373, 95, 172.70
2026/09/11 03:30:46.734, 11375, 96, 174.28
2026/09/11 03:30:51.759, 11375, 96, 169.25
2026/09/11 03:30:56.787, 11419, 97, 77.87
2026/09/11 03:31:01.811, 11419, 95, 145.25
2026/09/11 03:31:06.834, 11429, 95, 170.82
2026/09/11 03:31:11.858, 11429, 95, 168.22
2026/09/11 03:31:16.885, 11429, 98, 171.37
2026/09/11 03:31:21.911, 11431, 96, 159.00
2026/09/11 03:31:26.935, 11431, 95, 167.92
2026/09/11 03:31:31.959, 11431, 96, 172.16
2026/09/11 03:31:36.982, 11435, 49, 88.13
2026/09/11 03:31:42.006, 11435, 50, 87.34
2026/09/11 03:31:47.029, 11471, 49, 119.02
2026/09/11 03:31:52.052, 11473, 49, 87.34
2026/09/11 03:31:57.075, 11473, 49, 85.51
2026/09/11 03:32:02.098, 11473, 47, 86.85
2026/09/11 03:32:07.121, 11493, 46, 83.64
2026/09/11 03:32:12.141, 11493, 0, 74.71
2026/09/11 03:32:17.165, 0, 0, 54.15
